amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,negative_sharpe,sharpe_ratio,sortino_ratio,max_drawdown,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,composite_score
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,14.0,-21.7,14288,1.54,4,Moderate,False,1.2082665673727175,2.140267129061793,-0.1501238549864533,26.0,4.0,32.0,30.5,17.0,48.8125
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,14.0,-24.43,1231,0.66,3,Moderate,False,0.9532794968660104,1.609776489628308,-0.11803493502764295,34.0,12.0,9.0,4.0,11.0,60.750000000000014
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,25.0,-13.35,19259,1.43,5,Very High,False,0.9453082575156095,1.6753165700125519,-0.2870600572176455,1.0,14.0,20.0,21.0,36.0,66.12499999999999
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,25.0,-24.78,36061,0.72,4,Very High,False,-0.05718662582817995,-0.09438726129459606,-0.5257422117012851,2.0,32.0,22.5,5.5,40.0,57.6875
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,4.0,-2.3,24101,0.77,5,Low,False,-0.22657538662791576,-0.37676700817066683,-0.04328728923970093,38.0,37.0,13.0,9.0,5.0,39.75
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,14.0,-17.41,6434,1.55,5,Moderate,False,-0.20151706755966936,-0.3510474601523089,-0.24734440880673303,16.0,35.0,35.0,32.0,34.0,30.625000000000004
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,14.0,-33.5,10611,0.92,4,Moderate,False,0.7757902498211205,1.3306512447571364,-0.15200013055606398,24.0,18.0,22.5,14.0,18.0,52.25
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,19.0,-13.67,23185,1.38,5,High,False,1.093698743534631,1.8291339615146942,-0.16217208574644848,10.0,7.0,26.0,17.0,20.0,66.25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,19.0,-32.22,18792,0.78,4,High,False,0.30061192104254786,0.5088128197169232,-0.21117279560132118,14.0,27.0,28.0,10.0,29.0,50.12500000000001
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,4.0,-6.01,27953,0.56,3,Low,False,-0.5670947928476846,-0.9418212366054204,-0.04308263824636349,36.0,39.0,1.0,2.0,4.0,48.875
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,14.0,-25.91,36022,1.42,4,Moderate,False,0.7979728586052847,1.3379431500669237,-0.13897862823061635,33.0,17.0,37.0,20.0,14.0,37.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,14.0,-26.59,41553,0.8,3,Moderate,False,1.0265242847993001,1.8052937940992548,-0.12588275606922517,20.0,10.0,31.0,12.0,12.0,58.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,19.0,-21.84,979,1.36,3,High,False,1.1801011976606492,2.0293529404657464,-0.18188513572116294,8.0,5.0,29.5,15.0,25.0,66.75000000000001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,15.0,-21.89,2571,1.41,4,Moderately High,False,0.6488787755249532,1.0958951614736467,-0.1982565826298267,18.0,20.0,38.0,19.0,27.0,43.625
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,0.5,-2.62,39116,0.74,5,Low,False,0.4957233929533123,1.0521238822609291,-0.0009773140045925555,35.0,23.0,3.5,7.0,1.0,57.25
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,14.0,-16.07,20909,1.51,4,Moderate,False,1.0816591793457042,1.850132546855726,-0.17414075086657232,21.0,8.0,33.0,24.5,23.0,50.31249999999999
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,14.0,-18.14,39475,0.72,3,Moderate,False,0.6452074382933215,1.154475716923624,-0.18629743138595511,27.0,21.0,10.5,5.5,26.0,55.3125
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,25.0,-30.87,43630,1.53,4,Very High,False,0.44843400890899127,0.7460146308533572,-0.2334488614483311,5.0,26.0,34.0,28.5,32.0,46.81250000000001
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,13.0,-26.75,20284,0.89,5,Moderate,False,0.664856998549062,1.137976718780742,-0.1165062450540909,32.0,19.0,7.0,13.0,10.0,55.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,4.0,-2.23,30030,0.55,4,Low,False,-0.35662950751436784,-0.6135251287271023,-0.08316361763638702,39.0,38.0,29.5,1.0,6.0,32.875
